Date,Hours,Value
2023-07-02 07:00:00,16,30
2023-07-02 07:00:00,17,88
2023-07-02 07:00:00,18,149
2023-07-02 07:00:00,19,227
2023-07-02 07:00:00,20,279
2023-07-02 07:00:00,21,311
2023-07-02 07:00:00,22,307
2023-07-02 07:00:00,23,308
2023-07-03 07:00:00,0,295
2023-07-03 07:00:00,1,315
2023-07-03 07:00:00,2,299
2023-07-03 07:00:00,3,302
2023-07-03 07:00:00,4,313
2023-07-03 07:00:00,5,322
2023-07-03 07:00:00,6,343
2023-07-03 07:00:00,7,353
2023-07-03 07:00:00,8,346
2023-07-03 07:00:00,9,391
2023-07-03 07:00:00,10,366
2023-07-03 07:00:00,11,198
2023-07-03 07:00:00,12,71
2023-07-03 07:00:00,13,41
2023-07-03 07:00:00,14,27
2023-07-03 07:00:00,15,24
2023-07-03 07:00:00,16,46
2023-07-03 07:00:00,17,86
2023-07-03 07:00:00,18,171
2023-07-03 07:00:00,19,226
2023-07-03 07:00:00,20,294
2023-07-03 07:00:00,21,337
2023-07-03 07:00:00,22,323
2023-07-03 07:00:00,23,332
2023-07-04 07:00:00,0,337
2023-07-04 07:00:00,1,330
2023-07-04 07:00:00,2,338
2023-07-04 07:00:00,3,313
2023-07-04 07:00:00,4,303
2023-07-04 07:00:00,5,341
2023-07-04 07:00:00,6,349
2023-07-04 07:00:00,7,367
2023-07-04 07:00:00,8,363
2023-07-04 07:00:00,9,423
2023-07-04 07:00:00,10,370
2023-07-04 07:00:00,11,222
2023-07-04 07:00:00,12,98
2023-07-04 07:00:00,13,33
2023-07-04 07:00:00,14,31
2023-07-04 07:00:00,15,32
2023-07-04 07:00:00,16,37
2023-07-04 07:00:00,17,100
2023-07-04 07:00:00,18,164
2023-07-04 07:00:00,19,230
2023-07-04 07:00:00,20,278
2023-07-04 07:00:00,21,307
2023-07-04 07:00:00,22,310
2023-07-04 07:00:00,23,301
